pass name,time,block_duplicate_reload,block_duplicate_spill,num_instructions,reload,spill
,s,,,,,
ocaml/stdlib/camlinternalAtomic.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,63,0,0
ocaml/stdlib/camlinternalFormatBasics.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.002,0,0,619,22,22
ocaml/stdlib/stdlib.pp.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.011,0,0,2053,94,85
ocaml/stdlib/mutex.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,56,6,5
ocaml/stdlib/atomic.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.001,0,0,68,0,0
ocaml/stdlib/std_exit.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,18,0,0
ocaml/stdlib/unit.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,8,0,0
ocaml/stdlib/bool.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,56,0,0
ocaml/stdlib/camlinternalComprehension.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.001,0,0,111,8,8
ocaml/stdlib/either.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.001,0,0,156,0,0
ocaml/stdlib/int.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,67,0,0
ocaml/stdlib/condition.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,28,0,0
ocaml/stdlib/char.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.001,0,0,169,2,2
ocaml/stdlib/sys.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.001,0,0,96,4,4
ocaml/stdlib/int64.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.001,0,0,301,1,1
ocaml/stdlib/semaphore.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.001,0,0,170,16,12
ocaml/stdlib/uchar.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.002,0,0,280,6,6
ocaml/stdlib/int32.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.001,0,0,315,1,1
ocaml/stdlib/nativeint.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.002,0,0,301,1,1
ocaml/stdlib/obj.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.002,0,0,517,0,0
ocaml/stdlib/callback.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.002,0,0,34,0,0
ocaml/stdlib/type.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,42,0,0
ocaml/stdlib/camlinternalLazy.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.001,0,0,153,5,7
ocaml/stdlib/lazy.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.001,0,0,198,4,4
ocaml/stdlib/seq.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.015,0,0,3318,160,137
ocaml/stdlib/option.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.001,0,0,151,0,0
ocaml/stdlib/result.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.001,0,0,211,0,0
ocaml/stdlib/queue.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.004,0,0,445,6,6
ocaml/stdlib/list.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.027,0,0,4439,374,283
ocaml/stdlib/array.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.043,9,4,4119,417,370
ocaml/stdlib/listLabels.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,2,0,0
ocaml/stdlib/stack.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.001,0,0,256,6,6
ocaml/stdlib/arrayLabels.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,2,0,0
ocaml/stdlib/bytes.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.028,0,0,5667,117,108
ocaml/stdlib/bytesLabels.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,6,0,0
ocaml/stdlib/domain.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.003,0,0,485,25,25
ocaml/stdlib/string.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.011,0,0,2392,78,72
ocaml/stdlib/map.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.022,30,0,3930,383,254
ocaml/stdlib/set.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.024,74,0,3871,392,254
ocaml/stdlib/stringLabels.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,2,0,0
ocaml/stdlib/stdLabels.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.001,0,0,2,0,0
ocaml/stdlib/marshal.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.001,0,0,247,4,4
ocaml/stdlib/float.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.029,0,0,3459,271,240
ocaml/stdlib/digest.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.003,0,0,454,16,13
ocaml/stdlib/lexing.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.010,0,0,1042,31,28
ocaml/stdlib/complex.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.005,4,1,478,25,15
ocaml/stdlib/parsing.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.007,0,0,983,46,27
ocaml/stdlib/buffer.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.017,0,0,2870,128,120
ocaml/stdlib/bigarray.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.023,3,1,1808,196,156
ocaml/stdlib/camlinternalOO.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.044,6,0,7519,756,533
ocaml/stdlib/random.ml/generate/compile_phrases/regalloc/cfg/cfg_irc,0.011,0,0,1936,67,53
